latitude,longitude,station_name,street_address,city,state,zip,num_points,operator,usage_cost
37.9645244,-122.3447793,EVSP WALGREENS,14280 San Pablo Ave,San Pablo,CA,94806,1,Unknown,Not specified
37.71528,-122.17783,"Walmart 2648 - San Leandro, CA",1919 Davis Street,San Leandro,CA,94577,2,Unknown,Not specified
37.965895,-122.49773,Greenlots - 112655U,125 Bahia Way,San Rafael,CA,94901,1,Unknown,Not specified
37.5871257,-122.3290547,SAN MATEO CNTY,"1701 Coyote Point Drive Coyote Point Park, Magic Mountain Playgroud",San Mateo,CA,94401,1,Unknown,Not specified
37.952535,-122.539042,Bacich Elementary School,699 Sir Francis Drake Blvd.,Kentfield,CA,94904,1,Unknown,Not specified
37.9629156,-122.5126319,SONNEN MOTORCAR,720 Francisco Blvd W,San Rafael,CA,94901,1,Unknown,Not specified
37.58001,-122.3506374,BURLINGAME,501 Primrose Rd,Burlingame,CA,94010,1,Unknown,Not specified
37.950535,-122.5491,KENTFIELD EV19 EV20,700 College Ave,Kentfield,CA,94904,1,Unknown,Not specified
37.5800222,-122.3452787,BURLINGAME,294-298 California Dr,Burlingame,CA,94010,1,Unknown,Not specified
37.9685721,-122.3366805,4CD,Mills Ave,Richmond,CA,94806,1,Unknown,Not specified
37.96419,-122.51719,470 Du Bois,470 Du Bois,San Rafael,California,,1,Unknown,Not specified
37.952331,-122.54915,Kentfield School District,750 College Ave,Kentfield,CA,94904,1,Unknown,Not specified
37.965256,-122.516075,MB MARIN MBM CT4020SALES,530 Francisco Blvd W,San Rafael,CA,94901,1,Unknown,Not specified
37.73715,-122.16354,10950 International,10950 International Blvd,Oakland,CA,94603,3,Unknown,Not specified
37.707918,-122.172787,Caltrans - District 32,1993 Marina Blvd,San Leandro,CA,94577,1,Unknown,Not specified
37.57792,-122.341931,Nissan of Burlingame,101 California Dr,Burlingame,CA,94010,2,Unknown,Not specified
37.97437,-122.489529,SRSC-SanPedro_SanRafael_O,498 POINT SAN PEDRO R,SAN RAFAEL,CA,94901,1,Unknown,Not specified
37.576945,-122.338389,888 SAN MATEO,888 N San Mateo Dr,San Mateo,CA,94401,1,Unknown,Not specified
37.967983,-122.518465,SHOWROOM 1 MAIN CHARGER,445 Francisco Blvd E,San Rafael,CA,94901,1,Unknown,Not specified
37.965895,-122.524903,SRSC-Davidson_SanRafael_O,280 Woodland Ave,San Rafael,CA,94901,1,Unknown,Not specified
37.5782793,-122.3315827,DO,650 N Delaware St,San Mateo,CA,94401,1,Unknown,Not specified
37.9697108,-122.5157682,MONTECITO MRKT,433-499 3rd St,San Rafael,CA,94901,1,Unknown,Not specified
37.970823,-122.51327,SRSC-SRHigh_SanRafael_O,150 3RD STREET,SAN RAFAEL,CA,94901,1,Unknown,Not specified
37.721,-122.162,Westlake - San Leandro Tech Campus,1600 Alvarado St,San Leandro,CA,94577,1,Unknown,Not specified
37.971118,-122.517435,Whole Foods Market - Tesla Supercharger,340 3rd Street,San Rafael,CA,94901,1,Unknown,Not specified
37.720852,-122.160996,"OSIsoft, LLC - Tesla Destination",1600 Alvarado St,San Leandro,CA,94577,1,Unknown,Not specified
37.97083,-122.52006,515 3rd Street,515 3rd Street,San Rafael,CA,,1,Unknown,Not specified
37.70977040484179,-122.1647465740487,Marina Square Shopping Center,1201 Marina Blvd,San Leandro,CA,94577,3,Unknown,Not specified
37.709866,-122.164662,Marina Square Center - Tesla Supercharger,1201 Marina Blvd,San Leandro,CA,94577,1,Unknown,Not specified
37.896506,-122.639414,Golden Gate National Recreation Area - Stinson Beach,4900 Shoreline Highway 1,Stinson Beach,CA,94970,1,Unknown,Not specified
37.7063601,-122.1651409,Kaiser San Leandro,2500 Merced Street,San Leandro,CA,94577,1,Unknown,Not specified
37.71267,-122.16245,San Leandro Nissan,1152 Marina Blvd,San Leandro,CA,94577,3,Unknown,Not specified
37.692678,-122.171053,Alameda County Electrical Joint Apprenticeship Training Committee,14600 Catalina St,San Leandro,CA,94577,1,Unknown,Not specified
37.97043228,-122.5262833,775 Lindaro St,775 Lindaro St,San Rafael,California,94901,1,Unknown,Not specified
37.711856,-122.16108,San Leandro Ford,1111 Marina Blvd,San Leandro,CA,94577,1,Unknown,Not specified
37.983514,-122.478788,SRSC-Glenwood_SanRafael_O,25 W. CASTLEWOOD DR.,SAN RAFAEL,CA,94901,1,Unknown,Not specified
37.9719973,-122.5250093,CITYOFSANRAFAEL,900-948 Cijos St,San Rafael,CA,94901,1,Unknown,Not specified
37.97795,-122.33319,Hilltop Fire,2904 Hilltop Mall Rd,Richmond,CA,94806,1,Unknown,Not specified
37.725635,-122.1556,SAN LEANDRO,120 Estudillo Ave,San Leandro,CA,94577,1,Unknown,Not specified
37.973684,-122.522659,MCE Clean Energy,1125 Tamalpais Ave,San Rafael,CA,94901,1,Unknown,Not specified
37.961257,-122.555799,TOWNOFROSS POPARKING-2,1 Ross Common,Ross,CA,94957,1,Unknown,Not specified
37.972504,-122.528471,CITYOFSANRAFAEL 3RD & A GARAGE2,901 A St,San Rafael,CA,94901,1,Unknown,Not specified
37.9725044,-122.5284707,CITYOFSANRAFAEL,901 A St,San Rafael,CA,94901,1,Unknown,Not specified
37.72408,-122.15392,"BOA San Leandro Main CA4-111 (San Leandro, CA)",1400 E 14TH ST,San Leandro,CA,94577,2,Unknown,Not specified
37.972724,-122.529305,CITYOFSANRAFAEL A ST CHARGER,930 B St,San Rafael,CA,94901,1,Unknown,Not specified
37.9739059,-122.5260462,CITYOFSANRAFAEL,950 5th Ave,San Rafael,CA,94901,1,Unknown,Not specified
37.972439,-122.530861,CITYOFSANRAFAEL C.ST.GARAGE #2,900 c street,San Rafael,CA,94901,1,Unknown,Not specified
37.97436310706424,-122.5297655037764,"AC Hotel, San Rafael",1201 Fifth Avenue,San Rafael,CA,94901,1,Unknown,Not specified
37.983629,-122.339944,Biorichland,2600 Hilltop Dr,Richmond,CA,94806,1,Unknown,Not specified
37.97803,-122.520021,SRSC-Coleman_SanRafael_O,800 BELLE AVE.,SAN RAFAEL,CA,94901,1,Unknown,Not specified
37.974903,-122.53141,CITYOFSANRAFAEL CITY HALL 2,1400 Fifth Ave,San Rafael,CA,94901,1,Unknown,Not specified
